episode,reward,won,kills
1,-487.90974227286074,0,0
2,-572.2325354101072,0,0
3,7709.102864130437,0,0
4,-595.2276996709977,0,0
5,-511.6208228154821,0,0
6,-394.97731878571136,0,0
7,-442.8300869452415,0,0
8,-284.9136536466922,0,0
9,182.91824078508728,0,0
10,258.5591769980746,0,0
11,-511.7330871782568,0,0
12,-318.4710748496691,0,0
13,32.80430074609927,0,0
14,-615.3686824937868,0,0
15,-356.3775114292603,0,0
16,-141.9322403891195,0,0
17,-561.9663429861127,0,0
18,-519.8549659124764,0,0
19,-520.6491233900188,0,0
20,98.28500335369216,0,0
21,-461.05506620874314,0,0
22,-554.7209225390174,0,0
23,-513.3552617916641,0,0
24,843.4230605556395,0,0
25,-4030.7491782636025,0,0
26,-504.4781250817651,0,0
27,-505.81713853751523,0,0
28,-419.0992673769777,0,0
29,-297.8883345986859,0,0
30,-254.32166864941712,0,0
31,168.42424904338378,0,0
32,-320.53624130798755,0,1
33,-505.52588619926786,0,0
34,5490.972160308528,0,0
35,-537.2750766381666,0,0
36,-636.205675071562,0,0
37,2081.0894746101903,0,0
38,-504.53587003009125,0,0
39,-2147.9595263005467,0,0
40,-692.9637213437996,0,0
41,807.4799417478847,0,0
42,356.83668659970317,0,1
43,3639.2632449165894,0,0
44,-579.5499582862118,0,0
45,-932.7273161728847,0,0
46,6582.095011193879,0,0
47,1012.1701447181056,0,0
48,-533.7319355930383,0,0
49,-335.394128094789,0,0
50,-642.3913187734327,0,0
51,-3978.197120672695,0,0
52,-529.4998389194836,0,0
53,-344.0404946573095,0,0
54,-514.5422780678878,0,0
55,-449.7147211195068,0,0
56,-4304.0595653059245,0,0
57,1145.1690437390384,0,0
58,-929.2577988148487,0,0
59,-540.7363245181324,0,0
60,-925.8614782285085,0,0
61,-561.9077816849501,0,0
62,-976.1074534920718,0,0
63,-472.0747271846981,0,0
64,-291.5053495580738,0,0
65,4271.815103587696,0,0
66,-4414.260424126412,0,0
67,3676.132733837788,0,0
68,-751.7465139935061,0,0
69,13281.128276271611,0,0
70,2171.3565577171166,0,0
71,-266.48791881361194,0,1
72,-469.0357995930361,0,0
73,-806.6383005167493,0,0
74,76.38191482132106,0,0
75,6495.162036938314,0,1
76,-512.5838602525309,0,0
77,-3080.1850157204753,0,0
78,-603.17940269976,0,0
79,-267.0578374458678,0,2
80,-431.1469777985899,0,0
81,-656.9994121593824,0,0
82,-543.2430693381792,0,0
83,-6569.218525408561,0,0
84,-2053.5369206293376,0,0
85,-543.7268050589382,0,0
86,-1915.3951346801223,0,0
87,-767.807541702939,0,0
88,-526.3818656787637,0,0
89,-1939.2845282324602,0,0
90,361362.49788255745,1,4
91,-518.3805972552669,0,0
92,-2398.9860671863657,0,0
93,-541.1657923770459,0,0
94,-8911.156138418362,0,0
95,-510.3886962927445,0,0
96,-1064.9012166229904,0,0
97,-504.26528831623796,0,0
98,-489.9642345607355,0,0
99,-1286.687682330692,0,0
100,-659.3479890692771,0,0
101,-643.2633966382829,0,0
102,-565.0255793102883,0,0
103,-1676.351898546241,0,0
104,2555.483165970839,0,0
105,-790.110676819946,0,0
106,-575.7421131271698,0,0
107,-313.1193209151211,0,0
108,-600.5150243378046,0,0
109,-700.6957599395245,0,0
110,-2470.046826896007,0,0
111,-4592.767387278928,0,0
112,-633.6073395817183,0,0
113,-1690.5206345476834,0,0
114,-560.2476126210532,0,0
115,-491.44343924413613,0,0
116,-912.5855073081798,0,0
117,-130.07316177872855,0,0
118,-719.7869609385504,0,0
119,-1183.8738382368078,0,0
120,-110.27165459859549,0,0
